지점명,시각 (YYYY-MM-DD),월평균 일최고기온 (°C),월평균 일최저기온 (°C),월 총 강수량 (mm)
Bismark,2010-01,-5.0,-16.7,10.9
Bismark,2010-02,-2.2,-13.3,13.0
Bismark,2010-03,-4.8,-16.6,10.9
Bismark,2010-04,13.9,-0.6,32.0
Bismark,2010-05,20.0,6.1,61.0
Bismark,2010-06,25.0,11.1,80.5
Bismark,2010-07,29.4,13.9,73.4
Bismark,2010-08,28.3,13.3,57.9
Bismark,2010-09,22.2,7.2,40.4
Bismark,2010-10,14.4,0.0,31.8
Bismark,2010-11,4.4,-7.2,18.0
Bismark,2010-12,-3.3,-14.4,12.4
Bismark,2011-01,-5.0,-16.7,10.9
Bismark,2011-02,-2.2,-13.3,13.0
Bismark,2011-03,4.4,-7.2,22.1
Bismark,2011-04,13.9,-0.6,32.0
Bismark,2011-05,20.0,6.1,61.0
Bismark,2011-06,25.0,11.1,80.5
Bismark,2011-07,29.4,13.9,73.4
Bismark,2011-08,28.3,13.3,57.9
Bismark,2011-09,22.2,7.2,40.4
Bismark,2011-10,14.4,0.0,31.8
Bismark,2011-11,4.4,-7.2,18.0
Bismark,2011-12,-3.3,-14.4,12.4
Bismark,2012-01,-5.0,-16.7,10.9
Bismark,2012-02,-2.2,-13.3,13.0
Bismark,2012-03,4.4,-7.2,22.1
Bismark,2012-04,13.9,-0.6,32.0
Bismark,2012-05,20.0,6.1,61.0
Bismark,2012-06,25.0,11.1,80.5
Bismark,2012-07,29.4,13.9,73.4
Bismark,2012-08,28.3,13.3,57.9
Bismark,2012-09,22.2,7.2,40.4
Bismark,2012-10,14.4,0.0,31.8
Bismark,2012-11,4.4,-7.2,18.0
Bismark,2012-12,-3.3,-14.4,12.4
Bismark,2013-01,-5.0,-16.7,10.9
Bismark,2013-02,-2.2,-13.3,13.0
Bismark,2013-03,4.4,-7.2,22.1
Bismark,2013-04,13.9,-0.6,32.0
Bismark,2013-05,20.0,6.1,61.0
Bismark,2013-06,25.0,11.1,80.5
Bismark,2013-07,29.4,13.9,73.4
Bismark,2013-08,28.3,13.3,57.9
Bismark,2013-09,22.2,7.2,40.4
Bismark,2013-10,14.4,0.0,31.8
Bismark,2013-11,4.4,-7.2,18.0
Bismark,2013-12,-3.3,-14.4,12.4
Bismark,2014-01,-5.0,-16.7,10.9
Bismark,2014-02,-2.2,-13.3,13.0
Bismark,2014-03,4.4,-7.2,22.1
Bismark,2014-04,13.9,-0.6,32.0
Bismark,2014-05,20.0,6.1,61.0
Bismark,2014-06,25.0,11.1,80.5
Bismark,2014-07,29.4,13.9,73.4
Bismark,2014-08,28.3,13.3,57.9
Bismark,2014-09,22.2,7.2,40.4
Bismark,2014-10,14.4,0.0,31.8
Bismark,2014-11,4.4,-7.2,18.0
Bismark,2014-12,-3.3,-14.4,12.4
Bismark,2015-01,-5.0,-16.7,10.9
Bismark,2015-02,-2.2,-13.3,13.0
Bismark,2015-03,4.4,-7.2,22.1
Bismark,2015-04,13.9,-0.6,32.0
Bismark,2015-05,20.0,6.1,61.0
Bismark,2015-06,25.0,11.1,80.5
Bismark,2015-07,29.4,13.9,73.4
Bismark,2015-08,28.3,13.3,57.9
Bismark,2015-09,22.2,7.2,40.4
Bismark,2015-10,14.4,0.0,31.8
Bismark,2015-11,4.4,-7.2,18.0
Bismark,2015-12,-3.3,-14.4,12.4
Bismark,2016-01,-5.0,-16.7,10.9
Bismark,2016-02,-2.2,-13.3,13.0
Bismark,2016-03,4.4,-7.2,22.1
Bismark,2016-04,13.9,-0.6,32.0
Bismark,2016-05,20.0,6.1,61.0
Bismark,2016-06,25.0,11.1,80.5
Bismark,2016-07,29.4,13.9,73.4
Bismark,2016-08,28.3,13.3,57.9
Bismark,2016-09,22.2,7.2,40.4
Bismark,2016-10,14.4,0.0,31.8
Bismark,2016-11,4.4,-7.2,18.0
Bismark,2016-12,-3.3,-14.4,12.4
Bismark,2017-01,-5.0,-16.7,10.9
Bismark,2017-02,-2.2,-13.3,13.0
Bismark,2017-03,4.4,-7.2,22.1
Bismark,2017-04,13.9,-0.6,32.0
Bismark,2017-05,20.0,6.1,61.0
Bismark,2017-06,25.0,11.1,80.5
Bismark,2017-07,29.4,13.9,73.4
Bismark,2017-08,28.3,13.3,57.9
Bismark,2017-09,22.2,7.2,40.4
Bismark,2017-10,14.4,0.0,31.8
Bismark,2017-11,4.4,-7.2,18.0
Bismark,2017-12,-3.3,-14.4,12.4
Bismark,2018-01,-5.0,-16.7,10.9
Bismark,2018-02,-2.2,-13.3,13.0
Bismark,2018-03,4.4,-7.2,22.1
Bismark,2018-04,13.9,-0.6,32.0
Bismark,2018-05,20.0,6.1,61.0
Bismark,2018-06,25.0,11.1,80.5
Bismark,2018-07,29.4,13.9,73.4
Bismark,2018-08,28.3,13.3,57.9
Bismark,2018-09,22.2,7.2,40.4
Bismark,2018-10,14.4,0.0,31.8
Bismark,2018-11,4.4,-7.2,18.0
Bismark,2018-12,-3.3,-14.4,12.4
Bismark,2019-01,-5.0,-16.7,10.9
Bismark,2019-02,-2.2,-13.3,13.0
Bismark,2019-03,4.4,-7.2,22.1
Bismark,2019-04,13.9,-0.6,32.0
Bismark,2019-05,20.0,6.1,61.0
Bismark,2019-06,25.0,11.1,80.5
Bismark,2019-07,29.4,13.9,73.4
Bismark,2019-08,28.3,13.3,57.9
Bismark,2019-09,22.2,7.2,40.4
Bismark,2019-10,14.4,0.0,31.8
Bismark,2019-11,4.4,-7.2,18.0
Bismark,2019-12,-3.3,-14.4,12.4
