지점명,시각 (YYYY-MM-DD),월평균 일최고기온 (°C),월평균 일최저기온 (°C),월 총 강수량 (mm)
Geraldton Airport,2011-01,0.0,0.0,0.0
Geraldton Airport,2011-02,0.0,0.0,0.0
Geraldton Airport,2011-03,0.0,0.0,0.0
Geraldton Airport,2011-04,0.0,0.0,0.0
Geraldton Airport,2011-05,0.0,0.0,0.0
Geraldton Airport,2011-06,0.0,0.0,0.0
Geraldton Airport,2011-07,21.5,12.4,0.0
Geraldton Airport,2011-08,20.6,9.0,63.4
Geraldton Airport,2011-09,22.4,8.3,37.2
Geraldton Airport,2011-10,25.3,12.8,93.6
Geraldton Airport,2011-11,27.9,14.3,18.4
Geraldton Airport,2011-12,31.5,18.5,0.8
Geraldton Airport,2012-01,35.2,22.0,4.0
Geraldton Airport,2012-02,31.7,20.2,2.0
Geraldton Airport,2012-03,33.7,18.2,0.0
Geraldton Airport,2012-04,29.0,15.4,11.4
Geraldton Airport,2012-05,26.8,12.4,11.0
Geraldton Airport,2012-06,21.5,12.1,120.4
Geraldton Airport,2012-07,20.6,7.3,40.2
Geraldton Airport,2012-08,21.1,8.6,52.4
Geraldton Airport,2012-09,23.8,10.0,25.4
Geraldton Airport,2012-10,27.2,12.5,7.4
Geraldton Airport,2012-11,27.3,14.5,24.8
Geraldton Airport,2012-12,32.6,17.9,15.0
Geraldton Airport,2013-01,33.4,19.7,12.4
Geraldton Airport,2013-02,35.6,20.2,0.0
Geraldton Airport,2013-03,30.1,17.3,55.8
Geraldton Airport,2013-04,30.4,16.8,4.6
Geraldton Airport,2013-05,23.7,12.5,72.4
Geraldton Airport,2013-06,21.9,8.7,14.2
Geraldton Airport,2013-07,20.4,7.5,53.6
Geraldton Airport,2013-08,22.2,9.6,69.6
Geraldton Airport,2013-09,22.1,11.3,46.4
Geraldton Airport,2013-10,26.0,11.3,14.0
Geraldton Airport,2013-11,29.7,15.8,0.4
Geraldton Airport,2013-12,31.9,16.9,2.8
Geraldton Airport,2014-01,33.1,19.2,1.0
Geraldton Airport,2014-02,35.4,21.1,4.4
Geraldton Airport,2014-03,31.4,17.7,3.6
Geraldton Airport,2014-04,28.8,14.4,51.6
Geraldton Airport,2014-05,22.9,12.9,70.2
Geraldton Airport,2014-06,21.6,8.3,42.4
Geraldton Airport,2014-07,20.3,9.0,54.8
Geraldton Airport,2014-08,25.1,10.6,27.0
Geraldton Airport,2014-09,24.5,11.4,74.2
Geraldton Airport,2014-10,26.1,12.2,4.0
Geraldton Airport,2014-11,27.1,13.7,2.2
Geraldton Airport,2014-12,30.0,15.6,0.0
Geraldton Airport,2015-01,33.6,18.6,0.0
Geraldton Airport,2015-02,32.5,20.3,12.2
Geraldton Airport,2015-03,30.6,18.5,87.2
Geraldton Airport,2015-04,28.0,16.5,37.6
Geraldton Airport,2015-05,24.6,11.6,16.4
Geraldton Airport,2015-06,23.3,11.3,54.0
Geraldton Airport,2015-07,20.9,10.2,54.4
Geraldton Airport,2015-08,21.0,9.9,48.6
Geraldton Airport,2015-09,25.3,9.0,9.8
Geraldton Airport,2015-10,27.8,12.5,0.6
Geraldton Airport,2015-11,29.6,16.1,22.4
Geraldton Airport,2015-12,30.8,16.7,16.8
Geraldton Airport,2016-01,31.2,20.1,20.2
Geraldton Airport,2016-02,33.1,18.1,0.2
Geraldton Airport,2016-03,31.2,19.1,13.0
Geraldton Airport,2016-04,27.4,17.3,71.4
Geraldton Airport,2016-05,23.4,11.1,30.4
Geraldton Airport,2016-06,19.7,9.2,90.4
Geraldton Airport,2016-07,18.9,8.4,128.8
Geraldton Airport,2016-08,19.4,7.8,69.4
Geraldton Airport,2016-09,20.4,6.7,17.8
Geraldton Airport,2016-10,24.7,10.0,11.6
Geraldton Airport,2016-11,29.1,13.2,5.6
Geraldton Airport,2016-12,29.5,15.4,2.4
Geraldton Airport,2017-01,32.7,17.1,33.0
Geraldton Airport,2017-02,32.4,20.2,18.4
Geraldton Airport,2017-03,30.5,17.2,5.8
Geraldton Airport,2017-04,29.7,14.1,0.4
Geraldton Airport,2017-05,25.9,11.4,30.4
Geraldton Airport,2017-06,23.7,9.6,41.4
Geraldton Airport,2017-07,20.2,10.0,48.8
Geraldton Airport,2017-08,19.9,8.0,79.6
Geraldton Airport,2017-09,23.4,9.6,49.6
Geraldton Airport,2017-10,25.5,11.6,7.6
Geraldton Airport,2017-11,29.8,15.6,5.4
Geraldton Airport,2017-12,31.4,17.2,10.4
Geraldton Airport,2018-01,31.6,19.1,16.8
Geraldton Airport,2018-02,30.0,18.3,1.2
Geraldton Airport,2018-03,33.4,19.6,0.6
Geraldton Airport,2018-04,28.7,13.7,0.4
Geraldton Airport,2018-05,27.3,12.3,38.6
Geraldton Airport,2018-06,21.4,10.4,58.6
Geraldton Airport,2018-07,20.2,10.4,105.2
Geraldton Airport,2018-08,19.6,8.4,60.8
Geraldton Airport,2018-09,23.1,7.2,5.2
Geraldton Airport,2018-10,24.6,12.8,5.2
Geraldton Airport,2018-11,26.1,13.5,0.8
Geraldton Airport,2018-12,29.6,16.4,3.2
Geraldton Airport,2019-01,31.0,16.8,0.0
Geraldton Airport,2019-02,30.7,17.8,0.0
Geraldton Airport,2019-03,31.7,19.1,0.8
Geraldton Airport,2019-04,28.4,14.3,3.4
Geraldton Airport,2019-05,26.5,10.8,1.8
Geraldton Airport,2019-06,21.8,11.1,141.6
Geraldton Airport,2019-07,21.3,8.8,41.4
Geraldton Airport,2019-08,22.4,8.7,43.0
Geraldton Airport,2019-09,24.1,8.7,4.4
Geraldton Airport,2019-10,26.5,11.9,13.4
Geraldton Airport,2019-11,31.2,15.4,2.4
Geraldton Airport,2019-12,32.8,18.0,1.0
Geraldton Airport,2020-01,31.4,17.8,0.0
Geraldton Airport,2020-02,32.5,20.9,30.8
Geraldton Airport,2020-03,32.0,19.8,0.6
Geraldton Airport,2020-04,28.5,16.0,1.6
Geraldton Airport,2020-05,25.1,13.0,38.6
Geraldton Airport,2020-06,24.2,12.6,47.6
Geraldton Airport,2020-07,21.9,9.7,43.2
Geraldton Airport,2020-08,20.4,9.5,87.8
Geraldton Airport,2020-09,23.5,9.9,12.4
Geraldton Airport,2020-10,26.3,11.5,1.6
Geraldton Airport,2020-11,26.8,14.9,43.8
Geraldton Airport,2020-12,32.7,17.1,0.2
Geraldton Airport,2021-01,35.5,21.7,0.0
Geraldton Airport,2021-02,31.3,18.4,52.8
Geraldton Airport,2021-03,32.9,18.8,0.6
Geraldton Airport,2021-04,30.3,16.8,38.8
Geraldton Airport,2021-05,25.5,14.3,85.4
Geraldton Airport,2021-06,20.1,9.2,56.8
Geraldton Airport,2021-07,19.7,11.5,115.4
Geraldton Airport,2021-08,21.0,8.8,39.6
Geraldton Airport,2021-09,24.3,9.0,15.8
Geraldton Airport,2021-10,24.0,10.4,46.0
Geraldton Airport,2021-11,28.2,13.0,1.4
Geraldton Airport,2021-12,32.2,17.2,1.0
Geraldton Airport,2022-01,34.5,18.9,0.0
Geraldton Airport,2022-02,35.2,19.9,0.0
Geraldton Airport,2022-03,32.9,18.4,23.2
Geraldton Airport,2022-04,27.7,16.1,103.8
Geraldton Airport,2022-05,24.7,12.6,32.2
Geraldton Airport,2022-06,22.6,11.0,90.4
Geraldton Airport,2022-07,21.3,9.1,88.0
Geraldton Airport,2022-08,20.3,8.6,137.2
Geraldton Airport,2022-09,22.6,9.4,53.2
Geraldton Airport,2022-10,23.8,9.3,22.0
Geraldton Airport,2022-11,27.7,12.3,14.2
Geraldton Airport,2022-12,31.7,16.7,2.4
Geraldton Airport,2023-01,33.0,18.8,0.0
Geraldton Airport,2023-02,32.8,19.5,0.0
Geraldton Airport,2023-03,31.1,17.9,4.0
Geraldton Airport,2023-04,26.7,13.2,3.4
Geraldton Airport,2023-05,26.5,12.3,30.6
Geraldton Airport,2023-06,19.4,9.0,104.8
Geraldton Airport,2023-07,20.0,7.8,36.8
Geraldton Airport,2023-08,22.8,7.9,31.2
Geraldton Airport,2023-09,24.4,10.6,13.4
Geraldton Airport,2023-10,29.5,12.1,1.2
Geraldton Airport,2023-11,30.6,16.7,6.4
Geraldton Airport,2023-12,32.5,17.9,0.4
Geraldton Airport,2024-01,31.7,19.3,0.0
Geraldton Airport,2024-02,37.3,19.4,17.4
Geraldton Airport,2024-03,33.0,18.9,2.2
Geraldton Airport,2024-04,32.3,16.9,0.6
Geraldton Airport,2024-05,28.1,14.2,8.4
Geraldton Airport,2024-06,21.5,12.3,148.2
Geraldton Airport,2024-07,20.3,10.2,157.0
Geraldton Airport,2024-08,20.8,11.1,81.6
Geraldton Airport,2024-09,24.6,9.8,16.4
Geraldton Airport,2024-10,26.0,12.6,36.4
Geraldton Airport,2024-11,26.0,12.6,0.0
Geraldton Airport,2024-12,26.0,12.6,0.0
