지점명,시각 (YYYY-MM-DD),월평균 일최고기온 (°C),월평균 일최저기온 (°C),월 총 강수량 (mm)
Bismark,2010-01-01,-5.0,-16.7,10.9
Bismark,2010-02-01,-2.2,-13.3,13.0
Bismark,2010-03-01,-4.8,-16.6,10.9
Bismark,2010-04-01,13.9,-0.6,32.0
Bismark,2010-05-01,20.0,6.1,61.0
Bismark,2010-06-01,25.0,11.1,80.5
Bismark,2010-07-01,29.4,13.9,73.4
Bismark,2010-08-01,28.3,13.3,57.9
Bismark,2010-09-01,22.2,7.2,40.4
Bismark,2010-10-01,14.4,0.0,31.8
Bismark,2010-11-01,4.4,-7.2,18.0
Bismark,2010-12-01,-3.3,-14.4,12.4
Bismark,2011-01-01,-5.0,-16.7,10.9
Bismark,2011-02-01,-2.2,-13.3,13.0
Bismark,2011-03-01,4.4,-7.2,22.1
Bismark,2011-04-01,13.9,-0.6,32.0
Bismark,2011-05-01,20.0,6.1,61.0
Bismark,2011-06-01,25.0,11.1,80.5
Bismark,2011-07-01,29.4,13.9,73.4
Bismark,2011-08-01,28.3,13.3,57.9
Bismark,2011-09-01,22.2,7.2,40.4
Bismark,2011-10-01,14.4,0.0,31.8
Bismark,2011-11-01,4.4,-7.2,18.0
Bismark,2011-12-01,-3.3,-14.4,12.4
Bismark,2012-01-01,-5.0,-16.7,10.9
Bismark,2012-02-01,-2.2,-13.3,13.0
Bismark,2012-03-01,4.4,-7.2,22.1
Bismark,2012-04-01,13.9,-0.6,32.0
Bismark,2012-05-01,20.0,6.1,61.0
Bismark,2012-06-01,25.0,11.1,80.5
Bismark,2012-07-01,29.4,13.9,73.4
Bismark,2012-08-01,28.3,13.3,57.9
Bismark,2012-09-01,22.2,7.2,40.4
Bismark,2012-10-01,14.4,0.0,31.8
Bismark,2012-11-01,4.4,-7.2,18.0
Bismark,2012-12-01,-3.3,-14.4,12.4
Bismark,2013-01-01,-5.0,-16.7,10.9
Bismark,2013-02-01,-2.2,-13.3,13.0
Bismark,2013-03-01,4.4,-7.2,22.1
Bismark,2013-04-01,13.9,-0.6,32.0
Bismark,2013-05-01,20.0,6.1,61.0
Bismark,2013-06-01,25.0,11.1,80.5
Bismark,2013-07-01,29.4,13.9,73.4
Bismark,2013-08-01,28.3,13.3,57.9
Bismark,2013-09-01,22.2,7.2,40.4
Bismark,2013-10-01,14.4,0.0,31.8
Bismark,2013-11-01,4.4,-7.2,18.0
Bismark,2013-12-01,-3.3,-14.4,12.4
Bismark,2014-01-01,-5.0,-16.7,10.9
Bismark,2014-02-01,-2.2,-13.3,13.0
Bismark,2014-03-01,4.4,-7.2,22.1
Bismark,2014-04-01,13.9,-0.6,32.0
Bismark,2014-05-01,20.0,6.1,61.0
Bismark,2014-06-01,25.0,11.1,80.5
Bismark,2014-07-01,29.4,13.9,73.4
Bismark,2014-08-01,28.3,13.3,57.9
Bismark,2014-09-01,22.2,7.2,40.4
Bismark,2014-10-01,14.4,0.0,31.8
Bismark,2014-11-01,4.4,-7.2,18.0
Bismark,2014-12-01,-3.3,-14.4,12.4
Bismark,2015-01-01,-5.0,-16.7,10.9
Bismark,2015-02-01,-2.2,-13.3,13.0
Bismark,2015-03-01,4.4,-7.2,22.1
Bismark,2015-04-01,13.9,-0.6,32.0
Bismark,2015-05-01,20.0,6.1,61.0
Bismark,2015-06-01,25.0,11.1,80.5
Bismark,2015-07-01,29.4,13.9,73.4
Bismark,2015-08-01,28.3,13.3,57.9
Bismark,2015-09-01,22.2,7.2,40.4
Bismark,2015-10-01,14.4,0.0,31.8
Bismark,2015-11-01,4.4,-7.2,18.0
Bismark,2015-12-01,-3.3,-14.4,12.4
Bismark,2016-01-01,-5.0,-16.7,10.9
Bismark,2016-02-01,-2.2,-13.3,13.0
Bismark,2016-03-01,4.4,-7.2,22.1
Bismark,2016-04-01,13.9,-0.6,32.0
Bismark,2016-05-01,20.0,6.1,61.0
Bismark,2016-06-01,25.0,11.1,80.5
Bismark,2016-07-01,29.4,13.9,73.4
Bismark,2016-08-01,28.3,13.3,57.9
Bismark,2016-09-01,22.2,7.2,40.4
Bismark,2016-10-01,14.4,0.0,31.8
Bismark,2016-11-01,4.4,-7.2,18.0
Bismark,2016-12-01,-3.3,-14.4,12.4
Bismark,2017-01-01,-5.0,-16.7,10.9
Bismark,2017-02-01,-2.2,-13.3,13.0
Bismark,2017-03-01,4.4,-7.2,22.1
Bismark,2017-04-01,13.9,-0.6,32.0
Bismark,2017-05-01,20.0,6.1,61.0
Bismark,2017-06-01,25.0,11.1,80.5
Bismark,2017-07-01,29.4,13.9,73.4
Bismark,2017-08-01,28.3,13.3,57.9
Bismark,2017-09-01,22.2,7.2,40.4
Bismark,2017-10-01,14.4,0.0,31.8
Bismark,2017-11-01,4.4,-7.2,18.0
Bismark,2017-12-01,-3.3,-14.4,12.4
Bismark,2018-01-01,-5.0,-16.7,10.9
Bismark,2018-02-01,-2.2,-13.3,13.0
Bismark,2018-03-01,4.4,-7.2,22.1
Bismark,2018-04-01,13.9,-0.6,32.0
Bismark,2018-05-01,20.0,6.1,61.0
Bismark,2018-06-01,25.0,11.1,80.5
Bismark,2018-07-01,29.4,13.9,73.4
Bismark,2018-08-01,28.3,13.3,57.9
Bismark,2018-09-01,22.2,7.2,40.4
Bismark,2018-10-01,14.4,0.0,31.8
Bismark,2018-11-01,4.4,-7.2,18.0
Bismark,2018-12-01,-3.3,-14.4,12.4
Bismark,2019-01-01,-5.0,-16.7,10.9
Bismark,2019-02-01,-2.2,-13.3,13.0
Bismark,2019-03-01,4.4,-7.2,22.1
Bismark,2019-04-01,13.9,-0.6,32.0
Bismark,2019-05-01,20.0,6.1,61.0
Bismark,2019-06-01,25.0,11.1,80.5
Bismark,2019-07-01,29.4,13.9,73.4
Bismark,2019-08-01,28.3,13.3,57.9
Bismark,2019-09-01,22.2,7.2,40.4
Bismark,2019-10-01,14.4,0.0,31.8
Bismark,2019-11-01,4.4,-7.2,18.0
Bismark,2019-12-01,-3.3,-14.4,12.4
