지점명,시각 (YYYY-MM-DD),월평균 일최고기온 (°C),월평균 일최저기온 (°C),월 총 강수량 (mm)
Geraldton Airport,2011-01-01,,,0
Geraldton Airport,2011-02-01,,,0
Geraldton Airport,2011-03-01,,,0
Geraldton Airport,2011-04-01,,,0
Geraldton Airport,2011-05-01,,,0
Geraldton Airport,2011-06-01,,,0
Geraldton Airport,2011-07-01,21.5,12.4,0
Geraldton Airport,2011-08-01,20.6,9,63.4
Geraldton Airport,2011-09-01,22.4,8.3,37.2
Geraldton Airport,2011-10-01,25.3,12.8,93.6
Geraldton Airport,2011-11-01,27.9,14.3,18.4
Geraldton Airport,2011-12-01,31.5,18.5,0.8
Geraldton Airport,2012-01-01,35.2,22,4
Geraldton Airport,2012-02-01,31.7,20.2,2
Geraldton Airport,2012-03-01,33.7,18.2,0
Geraldton Airport,2012-04-01,29,15.4,11.4
Geraldton Airport,2012-05-01,26.8,12.4,11
Geraldton Airport,2012-06-01,21.5,12.1,120.4
Geraldton Airport,2012-07-01,20.6,7.3,40.2
Geraldton Airport,2012-08-01,21.1,8.6,52.4
Geraldton Airport,2012-09-01,23.8,10,25.4
Geraldton Airport,2012-10-01,27.2,12.5,7.4
Geraldton Airport,2012-11-01,27.3,14.5,24.8
Geraldton Airport,2012-12-01,32.6,17.9,15
Geraldton Airport,2013-01-01,33.4,19.7,12.4
Geraldton Airport,2013-02-01,35.6,20.2,0
Geraldton Airport,2013-03-01,30.1,17.3,55.8
Geraldton Airport,2013-04-01,30.4,16.8,4.6
Geraldton Airport,2013-05-01,23.7,12.5,72.4
Geraldton Airport,2013-06-01,21.9,8.7,14.2
Geraldton Airport,2013-07-01,20.4,7.5,53.6
Geraldton Airport,2013-08-01,22.2,9.6,69.6
Geraldton Airport,2013-09-01,22.1,11.3,46.4
Geraldton Airport,2013-10-01,26,11.3,14
Geraldton Airport,2013-11-01,29.7,15.8,0.4
Geraldton Airport,2013-12-01,31.9,16.9,2.8
Geraldton Airport,2014-01-01,33.1,19.2,1
Geraldton Airport,2014-02-01,35.4,21.1,4.4
Geraldton Airport,2014-03-01,31.4,17.7,3.6
Geraldton Airport,2014-04-01,28.8,14.4,51.6
Geraldton Airport,2014-05-01,22.9,12.9,70.2
Geraldton Airport,2014-06-01,21.6,8.3,42.4
Geraldton Airport,2014-07-01,20.3,9,54.8
Geraldton Airport,2014-08-01,25.1,10.6,27
Geraldton Airport,2014-09-01,24.5,11.4,74.2
Geraldton Airport,2014-10-01,26.1,12.2,4
Geraldton Airport,2014-11-01,27.1,13.7,2.2
Geraldton Airport,2014-12-01,30,15.6,0
Geraldton Airport,2015-01-01,33.6,18.6,0
Geraldton Airport,2015-02-01,32.5,20.3,12.2
Geraldton Airport,2015-03-01,30.6,18.5,87.2
Geraldton Airport,2015-04-01,28,16.5,37.6
Geraldton Airport,2015-05-01,24.6,11.6,16.4
Geraldton Airport,2015-06-01,23.3,11.3,54
Geraldton Airport,2015-07-01,20.9,10.2,54.4
Geraldton Airport,2015-08-01,21,9.9,48.6
Geraldton Airport,2015-09-01,25.3,9,9.8
Geraldton Airport,2015-10-01,27.8,12.5,0.6
Geraldton Airport,2015-11-01,29.6,16.1,22.4
Geraldton Airport,2015-12-01,30.8,16.7,16.8
Geraldton Airport,2016-01-01,31.2,20.1,20.2
Geraldton Airport,2016-02-01,33.1,18.1,0.2
Geraldton Airport,2016-03-01,31.2,19.1,13
Geraldton Airport,2016-04-01,27.4,17.3,71.4
Geraldton Airport,2016-05-01,23.4,11.1,30.4
Geraldton Airport,2016-06-01,19.7,9.2,90.4
Geraldton Airport,2016-07-01,18.9,8.4,128.8
Geraldton Airport,2016-08-01,19.4,7.8,69.4
Geraldton Airport,2016-09-01,20.4,6.7,17.8
Geraldton Airport,2016-10-01,24.7,10,11.6
Geraldton Airport,2016-11-01,29.1,13.2,5.6
Geraldton Airport,2016-12-01,29.5,15.4,2.4
Geraldton Airport,2017-01-01,32.7,17.1,33
Geraldton Airport,2017-02-01,32.4,20.2,18.4
Geraldton Airport,2017-03-01,30.5,17.2,5.8
Geraldton Airport,2017-04-01,29.7,14.1,0.4
Geraldton Airport,2017-05-01,25.9,11.4,30.4
Geraldton Airport,2017-06-01,23.7,9.6,41.4
Geraldton Airport,2017-07-01,20.2,10,48.8
Geraldton Airport,2017-08-01,19.9,8,79.6
Geraldton Airport,2017-09-01,23.4,9.6,49.6
Geraldton Airport,2017-10-01,25.5,11.6,7.6
Geraldton Airport,2017-11-01,29.8,15.6,5.4
Geraldton Airport,2017-12-01,31.4,17.2,10.4
Geraldton Airport,2018-01-01,31.6,19.1,16.8
Geraldton Airport,2018-02-01,30,18.3,1.2
Geraldton Airport,2018-03-01,33.4,19.6,0.6
Geraldton Airport,2018-04-01,28.7,13.7,0.4
Geraldton Airport,2018-05-01,27.3,12.3,38.6
Geraldton Airport,2018-06-01,21.4,10.4,58.6
Geraldton Airport,2018-07-01,20.2,10.4,105.2
Geraldton Airport,2018-08-01,19.6,8.4,60.8
Geraldton Airport,2018-09-01,23.1,7.2,5.2
Geraldton Airport,2018-10-01,24.6,12.8,5.2
Geraldton Airport,2018-11-01,26.1,13.5,0.8
Geraldton Airport,2018-12-01,29.6,16.4,3.2
Geraldton Airport,2019-01-01,31,16.8,0
Geraldton Airport,2019-02-01,30.7,17.8,0
Geraldton Airport,2019-03-01,31.7,19.1,0.8
Geraldton Airport,2019-04-01,28.4,14.3,3.4
Geraldton Airport,2019-05-01,26.5,10.8,1.8
Geraldton Airport,2019-06-01,21.8,11.1,141.6
Geraldton Airport,2019-07-01,21.3,8.8,41.4
Geraldton Airport,2019-08-01,22.4,8.7,43
Geraldton Airport,2019-09-01,24.1,8.7,4.4
Geraldton Airport,2019-10-01,26.5,11.9,13.4
Geraldton Airport,2019-11-01,31.2,15.4,2.4
Geraldton Airport,2019-12-01,32.8,18,1
Geraldton Airport,2020-01-01,31.4,17.8,0
Geraldton Airport,2020-02-01,32.5,20.9,30.8
Geraldton Airport,2020-03-01,32,19.8,0.6
Geraldton Airport,2020-04-01,28.5,16,1.6
Geraldton Airport,2020-05-01,25.1,13,38.6
Geraldton Airport,2020-06-01,24.2,12.6,47.6
Geraldton Airport,2020-07-01,21.9,9.7,43.2
Geraldton Airport,2020-08-01,20.4,9.5,87.8
Geraldton Airport,2020-09-01,23.5,9.9,12.4
Geraldton Airport,2020-10-01,26.3,11.5,1.6
Geraldton Airport,2020-11-01,26.8,14.9,43.8
Geraldton Airport,2020-12-01,32.7,17.1,0.2
Geraldton Airport,2021-01-01,35.5,21.7,0
Geraldton Airport,2021-02-01,31.3,18.4,52.8
Geraldton Airport,2021-03-01,32.9,18.8,0.6
Geraldton Airport,2021-04-01,30.3,16.8,38.8
Geraldton Airport,2021-05-01,25.5,14.3,85.4
Geraldton Airport,2021-06-01,20.1,9.2,56.8
Geraldton Airport,2021-07-01,19.7,11.5,115.4
Geraldton Airport,2021-08-01,21,8.8,39.6
Geraldton Airport,2021-09-01,24.3,9,15.8
