지점명,시각 (YYYY-MM-DD),월평균 일 최고기온 (°C),월평균 일 최저기온 (°C),월별 일 최고기온(°C),월별 일 최저기온(°C),월 총 강수량 (mm),월평균 일 태양복사량 (MJ/m^2)
NSW_Moree_Aero,2011-01-01,34.5,20.4,41.4,15.6,27.6,26
NSW_Moree_Aero,2011-02-01,34.4,21.5,38.9,15,89,24.3
NSW_Moree_Aero,2011-03-01,30.2,18,38.6,9.6,35.2,18.2
NSW_Moree_Aero,2011-04-01,26.8,12.3,30.8,7.4,62.8,17.4
NSW_Moree_Aero,2011-05-01,21.1,6.8,26.7,-0.8,22.4,12.7
NSW_Moree_Aero,2011-06-01,18.6,5,23.9,-2.8,54.8,11.2
NSW_Moree_Aero,2011-07-01,17.5,3.2,23.4,-3.2,7,11.8
NSW_Moree_Aero,2011-08-01,20.9,6.5,25.1,1.3,56.8,14.4
NSW_Moree_Aero,2011-09-01,23.9,8.6,30.6,2.9,59.2,19.1
NSW_Moree_Aero,2011-10-01,25.6,12,32.6,4.7,73.2,21.7
NSW_Moree_Aero,2011-11-01,31.2,19,39.7,11.9,222.2,21.7
NSW_Moree_Aero,2011-12-01,28.1,17,32,12.7,134.8,24.4
NSW_Moree_Aero,2012-01-01,30.5,18.9,36.4,11.7,131.2,24.3
NSW_Moree_Aero,2012-02-01,30.1,18.5,34.7,14.2,207.4,23
NSW_Moree_Aero,2012-03-01,30,16.5,33.7,9.1,10,21.3
NSW_Moree_Aero,2012-04-01,26.8,13,32.8,3.5,22.6,16.6
NSW_Moree_Aero,2012-05-01,22.5,6.2,27.6,1.1,40.4,14.3
NSW_Moree_Aero,2012-06-01,19,5.7,22.4,-1.8,21.4,11
NSW_Moree_Aero,2012-07-01,17.5,5.1,21.7,-1.6,95,11.7
NSW_Moree_Aero,2012-08-01,19.9,3.5,28.5,-1.1,2.8,16.8
NSW_Moree_Aero,2012-09-01,24.6,7.7,31,0.2,10.8,19.9
NSW_Moree_Aero,2012-10-01,28.6,11,37,4,9.6,24.2
NSW_Moree_Aero,2012-11-01,33,17.6,40,11.4,6,24.5
NSW_Moree_Aero,2012-12-01,34.5,19.5,40.3,11.5,76,29.1
NSW_Moree_Aero,2013-01-01,35.7,21.8,42.7,16.7,178.4,27.8
NSW_Moree_Aero,2013-02-01,30.7,18,34.5,13.3,47,24.8
NSW_Moree_Aero,2013-03-01,29.8,17.3,33.2,12,81.6,21
NSW_Moree_Aero,2013-04-01,27.4,11.1,29.9,4.3,10.4,18
NSW_Moree_Aero,2013-05-01,22.4,8.4,28.5,2.7,34.6,13.2
NSW_Moree_Aero,2013-06-01,18.3,7,24.6,-0.1,31.8,9.6
NSW_Moree_Aero,2013-07-01,20,6.1,23.1,-1.3,27,12.5
NSW_Moree_Aero,2013-08-01,22,4.8,29.2,-1.1,4.8,16.3
NSW_Moree_Aero,2013-09-01,28,9.6,36.3,4.3,25,20.7
NSW_Moree_Aero,2013-10-01,29.9,12,34.9,4.3,22.4,23.2
NSW_Moree_Aero,2013-11-01,31.8,15.5,37.4,11,27.4,23.6
NSW_Moree_Aero,2013-12-01,35.2,18.8,43.6,8.5,9,28.9
NSW_Moree_Aero,2014-01-01,35.9,20.2,47.3,13,21.2,27.9
NSW_Moree_Aero,2014-02-01,34.3,20.7,40,16.4,35.6,21.2
NSW_Moree_Aero,2014-03-01,30.9,18.7,35.4,14.9,89.6,18.7
NSW_Moree_Aero,2014-04-01,28,15,31.9,7.8,10,16.1
