지점명,시각 (YYYY-MM-DD),월평균 일 최고기온 (°C),월평균 일 최저기온 (°C),월별 일 최고기온(°C),월별 일 최저기온(°C),월 총 강수량 (mm),월평균 일 태양복사량 (MJ/m^2)
SA_Cleve_SA,2011-01-01,28.6,17.2,44.5,12.5,6.2,27.1
SA_Cleve_SA,2011-02-01,27,17.2,38.2,13.5,65,20.4
SA_Cleve_SA,2011-03-01,22.7,14.8,34,12,72.6,15.8
SA_Cleve_SA,2011-04-01,22.8,12.8,30.9,7.4,11.6,15.2
SA_Cleve_SA,2011-05-01,17.8,10.2,25.2,6.5,54.4,9.5
SA_Cleve_SA,2011-06-01,16.4,8.4,20.4,4.1,36.4,9
SA_Cleve_SA,2011-07-01,15.7,7.8,22.5,3.5,55.6,9
SA_Cleve_SA,2011-08-01,18.1,9.1,26,5.1,50.6,12.3
SA_Cleve_SA,2011-09-01,21.8,9.4,32.2,5,23.6,16.7
SA_Cleve_SA,2011-10-01,20.8,11.4,33.6,5.7,61.2,17.5
SA_Cleve_SA,2011-11-01,27,13.6,35.5,9,11,24.4
SA_Cleve_SA,2011-12-01,26.9,15,40.6,8.8,46,26.3
SA_Cleve_SA,2012-01-01,28.9,17.6,42.1,12.4,9.4,26.3
SA_Cleve_SA,2012-02-01,26,16,39.3,11.3,33.8,20.3
SA_Cleve_SA,2012-03-01,25.9,14.5,35.5,10.9,22.4,18.6
SA_Cleve_SA,2012-04-01,24.7,13.3,35.7,7.7,16.4,14.9
SA_Cleve_SA,2012-05-01,18.1,9.9,30,5.9,68,9.5
SA_Cleve_SA,2012-06-01,15.2,7.7,20.4,1.7,78.4,8.9
SA_Cleve_SA,2012-07-01,15.3,6.7,18.6,3,25.4,9.5
SA_Cleve_SA,2012-08-01,16.6,7.3,22,4,35.6,12.3
SA_Cleve_SA,2012-09-01,21.4,9,30.9,3.4,16.6,16.9
SA_Cleve_SA,2012-10-01,23.9,10.8,35.5,4.2,20.4,21.4
SA_Cleve_SA,2012-11-01,26.4,13.4,38.6,8,14.4,24.4
SA_Cleve_SA,2012-12-01,27.6,14.7,43.3,9.3,5,28.8
SA_Cleve_SA,2013-01-01,28.6,16.3,45,10.8,10,28
SA_Cleve_SA,2013-02-01,29.1,17.8,39.5,11.5,27.6,24.3
SA_Cleve_SA,2013-03-01,27.3,16.7,38,10.5,31.2,18.7
SA_Cleve_SA,2013-04-01,23.4,13.5,32.7,9.4,39.8,14.3
SA_Cleve_SA,2013-05-01,21.3,12.6,30,7.1,46.6,9.8
SA_Cleve_SA,2013-06-01,16,9,21.3,4.4,123.4,8.3
SA_Cleve_SA,2013-07-01,16.1,8.5,19,4.6,63.2,9.5
SA_Cleve_SA,2013-08-01,18,9,25.7,3.5,45.8,12.1
SA_Cleve_SA,2013-09-01,23.2,12,30.3,6.1,42.4,16.2
SA_Cleve_SA,2013-10-01,23.9,10.9,36.1,4.5,7.4,20.9
SA_Cleve_SA,2013-11-01,23.9,12.7,37,7.7,26.8,22.2
