지점명,시각 (YYYY-MM-DD),월평균 일최고기온 (°C),월평균 일최저기온 (°C),월별 일 최고기온(°C),월별 일 최저기온(°C),월 총 강수량 (mm),월평균 일 태양복사량 (MJ/m^2)
Geraldton Airport,2011-01-01,-99.9,-99.9,-99.9,-99.9,-99.9,25.4
Geraldton Airport,2011-02-01,-99.9,-99.9,-99.9,-99.9,-99.9,24.2
Geraldton Airport,2011-03-01,-99.9,-99.9,-99.9,-99.9,-99.9,23.4
Geraldton Airport,2011-04-01,-99.9,-99.9,-99.9,-99.9,-99.9,17.3
Geraldton Airport,2011-05-01,-99.9,-99.9,-99.9,-99.9,-99.9,13.1
Geraldton Airport,2011-06-01,-99.9,-99.9,-99.9,-99.9,-99.9,10.6
Geraldton Airport,2011-07-01,21.5,12.4,23.2,9.2,-99.9,10.6
Geraldton Airport,2011-08-01,20.6,9,24.9,3.5,63.4,15.2
Geraldton Airport,2011-09-01,22.4,8.3,29,3.1,37.2,19.6
Geraldton Airport,2011-10-01,25.3,12.8,34.7,7.4,93.6,22.1
Geraldton Airport,2011-11-01,27.9,14.3,38.1,9.3,18.4,28.3
Geraldton Airport,2011-12-01,31.5,18.5,41.1,14.1,0.8,28.1
Geraldton Airport,2012-01-01,35.2,22,43.9,14.2,4,28
Geraldton Airport,2012-02-01,31.7,20.2,40,13.9,2,25.3
Geraldton Airport,2012-03-01,33.7,18.2,43.5,14,0,24.1
Geraldton Airport,2012-04-01,29,15.4,37.6,10.5,11.4,17.1
Geraldton Airport,2012-05-01,26.8,12.4,35.1,7.8,11,13.7
Geraldton Airport,2012-06-01,21.5,12.1,28.4,5.7,120.4,10.1
Geraldton Airport,2012-07-01,20.6,7.3,24.3,1.8,40.2,13.1
Geraldton Airport,2012-08-01,21.1,8.6,26.6,2.9,52.4,16.5
Geraldton Airport,2012-09-01,23.8,10,31.9,3.5,25.4,19.8
Geraldton Airport,2012-10-01,27.2,12.5,38.3,7.1,7.4,24
Geraldton Airport,2012-11-01,27.3,14.5,36.9,8,24.8,26.7
Geraldton Airport,2012-12-01,32.6,17.9,43.9,10.1,15,29.3
Geraldton Airport,2013-01-01,33.4,19.7,41.2,12.6,12.4,28.9
Geraldton Airport,2013-02-01,35.6,20.2,44,13.1,0,26.9
Geraldton Airport,2013-03-01,30.1,17.3,40.3,11,55.8,21.9
Geraldton Airport,2013-04-01,30.4,16.8,39.3,11.1,4.6,16.4
Geraldton Airport,2013-05-01,23.7,12.5,29,5.6,72.4,12.8
Geraldton Airport,2013-06-01,21.9,8.7,25.3,3.9,14.2,12.1
Geraldton Airport,2013-07-01,20.4,7.5,24.6,2.3,53.6,12.5
Geraldton Airport,2013-08-01,22.2,9.6,30.1,3.5,69.6,14.5
Geraldton Airport,2013-09-01,22.1,11.3,26.3,5.3,46.4,18.8
Geraldton Airport,2013-10-01,26,11.3,35.5,6.1,14,25
Geraldton Airport,2013-11-01,29.7,15.8,40.7,12.2,0.4,25.8
Geraldton Airport,2013-12-01,31.9,16.9,42.7,11.7,2.8,28.6
Geraldton Airport,2014-01-01,33.1,19.2,45.8,12.3,1,28.5
Geraldton Airport,2014-02-01,35.4,21.1,43.5,15.3,4.4,26.1
Geraldton Airport,2014-03-01,31.4,17.7,41.3,10.4,3.6,19.9
Geraldton Airport,2014-04-01,28.8,14.4,36.4,9.9,51.6,16.5
Geraldton Airport,2014-05-01,22.9,12.9,25.4,6.7,70.2,12.1
Geraldton Airport,2014-06-01,21.6,8.3,28.7,2.4,42.4,11.7
Geraldton Airport,2014-07-01,20.3,9,25.8,4.2,54.8,12.2
Geraldton Airport,2014-08-01,25.1,10.6,31.7,4.3,27,15.3
Geraldton Airport,2014-09-01,24.5,11.4,33.7,7.4,74.2,17.6
Geraldton Airport,2014-10-01,26.1,12.2,35.6,5.2,4,23.5
Geraldton Airport,2014-11-01,27.1,13.7,41.4,8.3,2.2,25.9
Geraldton Airport,2014-12-01,30,15.6,39.3,10.6,0,29.6
Geraldton Airport,2015-01-01,33.6,18.6,43.6,14.1,0,28.6
Geraldton Airport,2015-02-01,32.5,20.3,39.1,13.6,12.2,23
Geraldton Airport,2015-03-01,30.6,18.5,38.9,13.1,87.2,19
Geraldton Airport,2015-04-01,28,16.5,34.6,11,37.6,15.5
Geraldton Airport,2015-05-01,24.6,11.6,30.2,7.3,16.4,14.1
Geraldton Airport,2015-06-01,23.3,11.3,29.6,6,54,11.3
Geraldton Airport,2015-07-01,20.9,10.2,27,2.3,54.4,11.2
Geraldton Airport,2015-08-01,21,9.9,28.3,6.5,48.6,14.9
Geraldton Airport,2015-09-01,25.3,9,34.5,3.8,9.8,20.7
Geraldton Airport,2015-10-01,27.8,12.5,36.7,6.6,0.6,23.5
Geraldton Airport,2015-11-01,29.6,16.1,41,11.2,22.4,26.6
Geraldton Airport,2015-12-01,30.8,16.7,45.1,10.2,16.8,28.5
Geraldton Airport,2016-01-01,31.2,20.1,44.1,15.7,20.2,22.6
Geraldton Airport,2016-02-01,33.1,18.1,44.5,12,0.2,27.2
Geraldton Airport,2016-03-01,31.2,19.1,39.1,14.1,13,19.5
Geraldton Airport,2016-04-01,27.4,17.3,34.1,11.9,71.4,15.6
Geraldton Airport,2016-05-01,23.4,11.1,28.5,7.1,30.4,13.6
Geraldton Airport,2016-06-01,19.7,9.2,26,3.6,90.4,11.7
Geraldton Airport,2016-07-01,18.9,8.4,25.3,1.9,128.8,12.5
Geraldton Airport,2016-08-01,19.4,7.8,24.7,3.3,69.4,15
Geraldton Airport,2016-09-01,20.4,6.7,26.5,2.5,17.8,19.7
Geraldton Airport,2016-10-01,24.7,10,37.3,4.4,11.6,23
Geraldton Airport,2016-11-01,29.1,13.2,42,7.9,5.6,27
