지점명,시각 (YYYY-MM-DD),월평균 일최고기온 (°C),월평균 일최저기온 (°C),월 총 강수량 (mm)
BRATT'S Lake Climate,2010-01-01,-8.9,-17.8,11.8
BRATT'S Lake Climate,2010-02-01,-9.9,-20.3,1.1
BRATT'S Lake Climate,2010-03-01,2.2,-7.1,2.4
BRATT'S Lake Climate,2010-04-01,13.8,-1.2,44.1
BRATT'S Lake Climate,2010-05-01,15.5,2.4,101.6
BRATT'S Lake Climate,2010-06-01,22.5,9.9,67.3
BRATT'S Lake Climate,2010-07-01,25.2,11.5,54.3
BRATT'S Lake Climate,2010-08-01,23.8,10.2,109.7
BRATT'S Lake Climate,2010-09-01,16.5,6.2,56.9
BRATT'S Lake Climate,2010-10-01,16.9,0.0,4.9
BRATT'S Lake Climate,2010-11-01,0.0,0.0,19.2
BRATT'S Lake Climate,2010-12-01,-10.5,-18.0,11.0
BRATT'S Lake Climate,2011-01-01,-9.9,-19.3,17.5
BRATT'S Lake Climate,2011-02-01,-8.7,-20.5,7.8
BRATT'S Lake Climate,2011-03-01,-5.3,-15.0,4.5
BRATT'S Lake Climate,2011-04-01,6.7,-2.8,5.9
BRATT'S Lake Climate,2011-05-01,16.5,4.1,92.2
BRATT'S Lake Climate,2011-06-01,21.2,9.8,109.3
BRATT'S Lake Climate,2011-07-01,27.6,12.7,19.8
BRATT'S Lake Climate,2011-08-01,27.5,10.3,19.0
BRATT'S Lake Climate,2011-09-01,23.3,5.2,20.2
BRATT'S Lake Climate,2011-10-01,13.9,0.4,43.2
BRATT'S Lake Climate,2011-11-01,0.6,-9.9,7.1
BRATT'S Lake Climate,2011-12-01,-0.8,-10.3,7.7
BRATT'S Lake Climate,2012-01-01,-4.0,-14.1,4.4
BRATT'S Lake Climate,2012-02-01,-1.2,-12.8,2.9
BRATT'S Lake Climate,2012-03-01,6.9,-5.8,7.0
BRATT'S Lake Climate,2012-04-01,11.7,-1.5,36.2
BRATT'S Lake Climate,2012-05-01,16.4,3.9,118.4
BRATT'S Lake Climate,2012-06-01,23.4,9.9,27.3
BRATT'S Lake Climate,2012-07-01,26.9,14.0,87.9
BRATT'S Lake Climate,2012-08-01,26.0,9.7,29.5
BRATT'S Lake Climate,2012-09-01,22.4,3.7,1.4
BRATT'S Lake Climate,2012-10-01,7.5,-3.5,19.6
BRATT'S Lake Climate,2012-11-01,-2.0,-11.9,21.3
BRATT'S Lake Climate,2012-12-01,-10.3,-21.2,12.3
BRATT'S Lake Climate,2013-01-01,-8.2,-20.6,18.4
BRATT'S Lake Climate,2013-02-01,-5.1,-15.1,8.6
BRATT'S Lake Climate,2013-03-01,-7.3,-18.0,19.9
BRATT'S Lake Climate,2013-04-01,0.3,-9.1,13.0
BRATT'S Lake Climate,2013-05-01,19.3,5.6,39.0
BRATT'S Lake Climate,2013-06-01,22.4,9.1,55.3
BRATT'S Lake Climate,2013-07-01,24.0,11.0,87.8
BRATT'S Lake Climate,2013-08-01,25.4,10.2,46.6
BRATT'S Lake Climate,2013-09-01,24.3,9.5,7.9
BRATT'S Lake Climate,2013-10-01,8.8,-5.8,4.9
BRATT'S Lake Climate,2013-11-01,-0.5,-13.6,10.4
BRATT'S Lake Climate,2013-12-01,-12.7,-23.6,10.5
BRATT'S Lake Climate,2014-01-01,-7.8,-21.1,11.3
BRATT'S Lake Climate,2014-02-01,-14.4,-26.0,7.0
BRATT'S Lake Climate,2014-03-01,-5.3,-15.4,12.3
BRATT'S Lake Climate,2014-04-01,7.1,-3.2,45.4
BRATT'S Lake Climate,2014-05-01,18.7,2.3,32.5
BRATT'S Lake Climate,2014-06-01,20.0,8.6,121.0
BRATT'S Lake Climate,2014-07-01,24.8,10.5,17.0
BRATT'S Lake Climate,2014-08-01,24.2,11.6,75.3
BRATT'S Lake Climate,2014-09-01,19.3,4.8,26.3
BRATT'S Lake Climate,2014-10-01,13.2,-0.7,16.6
BRATT'S Lake Climate,2014-11-01,-3.6,-13.6,15.2
BRATT'S Lake Climate,2014-12-01,-4.9,-13.5,4.2
BRATT'S Lake Climate,2015-01-01,-5.9,-15.8,11.8
BRATT'S Lake Climate,2015-02-01,-10.1,-22.1,13.6
BRATT'S Lake Climate,2015-03-01,3.3,-7.1,13.7
BRATT'S Lake Climate,2015-04-01,12.6,-2.1,12.7
BRATT'S Lake Climate,2015-05-01,18.6,1.5,8.4
BRATT'S Lake Climate,2015-06-01,25.0,8.8,23.2
BRATT'S Lake Climate,2015-07-01,26.1,11.7,93.4
BRATT'S Lake Climate,2015-08-01,25.1,9.5,69.0
BRATT'S Lake Climate,2015-09-01,20.3,4.9,58.0
BRATT'S Lake Climate,2015-10-01,13.9,0.9,30.3
BRATT'S Lake Climate,2015-11-01,3.8,-7.0,14.5
BRATT'S Lake Climate,2015-12-01,-2.5,-11.9,5.2
BRATT'S Lake Climate,2016-01-01,-6.1,-15.6,5.0
BRATT'S Lake Climate,2016-02-01,1.2,-9.3,7.7
BRATT'S Lake Climate,2016-03-01,6.2,-5.3,11.7
BRATT'S Lake Climate,2016-04-01,14.0,-4.3,5.7
BRATT'S Lake Climate,2016-05-01,20.9,4.5,95.8
BRATT'S Lake Climate,2016-06-01,24.1,9.9,71.0
BRATT'S Lake Climate,2016-07-01,24.8,11.4,84.9
BRATT'S Lake Climate,2016-08-01,25.1,9.5,40.0
BRATT'S Lake Climate,2016-09-01,20.2,5.1,52.6
BRATT'S Lake Climate,2016-10-01,9.0,-0.7,58.7
BRATT'S Lake Climate,2016-11-01,8.4,-4.2,4.0
BRATT'S Lake Climate,2016-12-01,-9.1,-18.1,9.2
BRATT'S Lake Climate,2017-01-01,-7.5,-17.8,4.3
BRATT'S Lake Climate,2017-02-01,-4.3,-13.7,8.4
BRATT'S Lake Climate,2017-03-01,0.4,-9.0,4.5
BRATT'S Lake Climate,2017-04-01,12.3,-2.9,15.5
BRATT'S Lake Climate,2017-05-01,21.1,2.5,7.8
BRATT'S Lake Climate,2017-06-01,23.3,7.8,31.7
BRATT'S Lake Climate,2017-07-01,29.3,10.8,1.2
BRATT'S Lake Climate,2017-08-01,26.2,7.8,50.7
BRATT'S Lake Climate,2017-09-01,20.4,4.2,12.9
BRATT'S Lake Climate,2017-10-01,12.8,-2.6,17.1
BRATT'S Lake Climate,2017-11-01,-3.1,-13.4,15.3
BRATT'S Lake Climate,2017-12-01,-6.3,-16.4,8.2
BRATT'S Lake Climate,2018-01-01,-5.9,-18.4,0.8
BRATT'S Lake Climate,2018-02-01,-10.6,-25.2,3.1
BRATT'S Lake Climate,2018-03-01,-3.3,-14.2,20.7
BRATT'S Lake Climate,2018-04-01,5.7,-7.8,5.8
BRATT'S Lake Climate,2018-05-01,23.7,5.3,20.3
BRATT'S Lake Climate,2018-06-01,23.9,9.3,105.0
BRATT'S Lake Climate,2018-07-01,25.9,9.0,10.0
BRATT'S Lake Climate,2018-08-01,26.3,8.2,27.2
BRATT'S Lake Climate,2018-09-01,15.4,1.3,29.2
BRATT'S Lake Climate,2018-10-01,9.7,-5.4,20.9
BRATT'S Lake Climate,2018-11-01,-1.9,-9.5,11.0
BRATT'S Lake Climate,2018-12-01,-3.5,-13.9,6.9
BRATT'S Lake Climate,2019-01-01,-7.3,-20.2,5.8
BRATT'S Lake Climate,2019-02-01,-18.4,-29.8,13.6
BRATT'S Lake Climate,2019-03-01,-0.3,-12.8,1.6
BRATT'S Lake Climate,2019-04-01,12.8,-3.8,22.8
BRATT'S Lake Climate,2019-05-01,18.6,-0.9,4.2
BRATT'S Lake Climate,2019-06-01,23.6,8.7,77.6
BRATT'S Lake Climate,2019-07-01,25.2,10.4,46.8
BRATT'S Lake Climate,2019-08-01,24.4,8.2,78.6
BRATT'S Lake Climate,2019-09-01,18.3,5.9,95.9
BRATT'S Lake Climate,2019-10-01,7.8,-5.3,7.7
BRATT'S Lake Climate,2019-11-01,-0.4,-9.4,13.3
BRATT'S Lake Climate,2019-12-01,-4.8,-15.9,2.6
BRATT'S Lake Climate,2020-01-01,-8.2,-17.2,5.2
BRATT'S Lake Climate,2020-02-01,-1.7,-14.8,2.6
BRATT'S Lake Climate,2020-03-01,2.9,-9.3,6.3
BRATT'S Lake Climate,2020-04-01,9.4,-8.2,6.9
BRATT'S Lake Climate,2020-05-01,20.1,1.6,6.5
BRATT'S Lake Climate,2020-06-01,23.4,8.6,57.0
BRATT'S Lake Climate,2020-07-01,24.9,11.3,98.5
BRATT'S Lake Climate,2020-08-01,27.6,8.2,14.2
BRATT'S Lake Climate,2020-09-01,20.5,3.7,15.2
BRATT'S Lake Climate,2020-10-01,8.0,-5.1,4.2
BRATT'S Lake Climate,2020-11-01,1.3,-10.4,12.0
BRATT'S Lake Climate,2020-12-01,-2.4,-13.9,10.3
BRATT'S Lake Climate,2021-01-01,-5.3,-15.4,3.7
BRATT'S Lake Climate,2021-02-01,-13.3,-23.7,0.7
BRATT'S Lake Climate,2021-03-01,6.8,-8.2,10.0
BRATT'S Lake Climate,2021-04-01,11.6,-4.9,8.2
BRATT'S Lake Climate,2021-05-01,18.2,0.7,68.4
BRATT'S Lake Climate,2021-06-01,25.7,9.2,60.2
BRATT'S Lake Climate,2021-07-01,29.2,12.7,5.8
BRATT'S Lake Climate,2021-08-01,25.1,9.8,113.1
BRATT'S Lake Climate,2021-09-01,23.3,4.3,0.6
BRATT'S Lake Climate,2021-10-01,13.6,-1.0,47.6
BRATT'S Lake Climate,2021-11-01,3.7,-8.0,13.4
BRATT'S Lake Climate,2021-12-01,-8.9,-20.6,7.9
BRATT'S Lake Climate,2022-01-01,-7.6,-20.7,26.4
