지점명,시각 (YYYY-MM-DD),월평균 일최고기온 (°C)
Geraldton Airport,2011-01-01,0.0
Geraldton Airport,2011-02-01,0.0
Geraldton Airport,2011-03-01,0.0
Geraldton Airport,2011-04-01,0.0
Geraldton Airport,2011-05-01,0.0
Geraldton Airport,2011-06-01,0.0
Geraldton Airport,2011-07-01,21.5
Geraldton Airport,2011-08-01,20.6
Geraldton Airport,2011-09-01,22.4
Geraldton Airport,2011-10-01,25.3
Geraldton Airport,2011-11-01,27.9
Geraldton Airport,2011-12-01,31.5
Geraldton Airport,2012-01-01,35.2
Geraldton Airport,2012-02-01,31.7
Geraldton Airport,2012-03-01,33.7
Geraldton Airport,2012-04-01,29.0
Geraldton Airport,2012-05-01,26.8
Geraldton Airport,2012-06-01,21.5
Geraldton Airport,2012-07-01,20.6
Geraldton Airport,2012-08-01,21.1
Geraldton Airport,2012-09-01,23.8
Geraldton Airport,2012-10-01,27.2
Geraldton Airport,2012-11-01,27.3
Geraldton Airport,2012-12-01,32.6
Geraldton Airport,2013-01-01,33.4
Geraldton Airport,2013-02-01,35.6
Geraldton Airport,2013-03-01,30.1
Geraldton Airport,2013-04-01,30.4
Geraldton Airport,2013-05-01,23.7
Geraldton Airport,2013-06-01,21.9
Geraldton Airport,2013-07-01,20.4
Geraldton Airport,2013-08-01,22.2
Geraldton Airport,2013-09-01,22.1
Geraldton Airport,2013-10-01,26.0
Geraldton Airport,2013-11-01,29.7
Geraldton Airport,2013-12-01,31.9
Geraldton Airport,2014-01-01,33.1
Geraldton Airport,2014-02-01,35.4
Geraldton Airport,2014-03-01,31.4
Geraldton Airport,2014-04-01,28.8
Geraldton Airport,2014-05-01,22.9
Geraldton Airport,2014-06-01,21.6
Geraldton Airport,2014-07-01,20.3
Geraldton Airport,2014-08-01,25.1
Geraldton Airport,2014-09-01,24.5
Geraldton Airport,2014-10-01,26.1
Geraldton Airport,2014-11-01,27.1
Geraldton Airport,2014-12-01,30.0
Geraldton Airport,2015-01-01,33.6
Geraldton Airport,2015-02-01,32.5
Geraldton Airport,2015-03-01,30.6
Geraldton Airport,2015-04-01,28.0
Geraldton Airport,2015-05-01,24.6
Geraldton Airport,2015-06-01,23.3
Geraldton Airport,2015-07-01,20.9
Geraldton Airport,2015-08-01,21.0
Geraldton Airport,2015-09-01,25.3
Geraldton Airport,2015-10-01,27.8
Geraldton Airport,2015-11-01,29.6
Geraldton Airport,2015-12-01,30.8
Geraldton Airport,2016-01-01,31.2
Geraldton Airport,2016-02-01,33.1
Geraldton Airport,2016-03-01,31.2
Geraldton Airport,2016-04-01,27.4
Geraldton Airport,2016-05-01,23.4
Geraldton Airport,2016-06-01,19.7
Geraldton Airport,2016-07-01,18.9
Geraldton Airport,2016-08-01,19.4
Geraldton Airport,2016-09-01,20.4
Geraldton Airport,2016-10-01,24.7
Geraldton Airport,2016-11-01,29.1
Geraldton Airport,2016-12-01,29.5
Geraldton Airport,2017-01-01,32.7
Geraldton Airport,2017-02-01,32.4
Geraldton Airport,2017-03-01,30.5
Geraldton Airport,2017-04-01,29.7
Geraldton Airport,2017-05-01,25.9
Geraldton Airport,2017-06-01,23.7
Geraldton Airport,2017-07-01,20.2
Geraldton Airport,2017-08-01,19.9
Geraldton Airport,2017-09-01,23.4
Geraldton Airport,2017-10-01,25.5
Geraldton Airport,2017-11-01,29.8
Geraldton Airport,2017-12-01,31.4
Geraldton Airport,2018-01-01,31.6
Geraldton Airport,2018-02-01,30.0
Geraldton Airport,2018-03-01,33.4
Geraldton Airport,2018-04-01,28.7
Geraldton Airport,2018-05-01,27.3
Geraldton Airport,2018-06-01,21.4
Geraldton Airport,2018-07-01,20.2
Geraldton Airport,2018-08-01,19.6
Geraldton Airport,2018-09-01,23.1
Geraldton Airport,2018-10-01,24.6
Geraldton Airport,2018-11-01,26.1
Geraldton Airport,2018-12-01,29.6
Geraldton Airport,2019-01-01,31.0
Geraldton Airport,2019-02-01,30.7
