지점명,시각 (YYYY-MM-DD),월 총 강수량 (mm)
Geraldton Airport,2011-01-01,0.0
Geraldton Airport,2011-02-01,0.0
Geraldton Airport,2011-03-01,0.0
Geraldton Airport,2011-04-01,0.0
Geraldton Airport,2011-05-01,0.0
Geraldton Airport,2011-06-01,0.0
Geraldton Airport,2011-07-01,0.0
Geraldton Airport,2011-08-01,63.4
Geraldton Airport,2011-09-01,37.2
Geraldton Airport,2011-10-01,93.6
Geraldton Airport,2011-11-01,18.4
Geraldton Airport,2011-12-01,0.8
Geraldton Airport,2012-01-01,4.0
Geraldton Airport,2012-02-01,2.0
Geraldton Airport,2012-03-01,0.0
Geraldton Airport,2012-04-01,11.4
Geraldton Airport,2012-05-01,11.0
Geraldton Airport,2012-06-01,120.4
Geraldton Airport,2012-07-01,40.2
Geraldton Airport,2012-08-01,52.4
Geraldton Airport,2012-09-01,25.4
Geraldton Airport,2012-10-01,7.4
Geraldton Airport,2012-11-01,24.8
Geraldton Airport,2012-12-01,15.0
Geraldton Airport,2013-01-01,12.4
Geraldton Airport,2013-02-01,0.0
Geraldton Airport,2013-03-01,55.8
Geraldton Airport,2013-04-01,4.6
Geraldton Airport,2013-05-01,72.4
Geraldton Airport,2013-06-01,14.2
Geraldton Airport,2013-07-01,53.6
Geraldton Airport,2013-08-01,69.6
Geraldton Airport,2013-09-01,46.4
Geraldton Airport,2013-10-01,14.0
Geraldton Airport,2013-11-01,0.4
Geraldton Airport,2013-12-01,2.8
Geraldton Airport,2014-01-01,1.0
Geraldton Airport,2014-02-01,4.4
Geraldton Airport,2014-03-01,3.6
Geraldton Airport,2014-04-01,51.6
Geraldton Airport,2014-05-01,70.2
Geraldton Airport,2014-06-01,42.4
Geraldton Airport,2014-07-01,54.8
Geraldton Airport,2014-08-01,27.0
Geraldton Airport,2014-09-01,74.2
Geraldton Airport,2014-10-01,4.0
Geraldton Airport,2014-11-01,2.2
Geraldton Airport,2014-12-01,0.0
Geraldton Airport,2015-01-01,0.0
Geraldton Airport,2015-02-01,12.2
Geraldton Airport,2015-03-01,87.2
Geraldton Airport,2015-04-01,37.6
Geraldton Airport,2015-05-01,16.4
Geraldton Airport,2015-06-01,54.0
Geraldton Airport,2015-07-01,54.4
Geraldton Airport,2015-08-01,48.6
Geraldton Airport,2015-09-01,9.8
Geraldton Airport,2015-10-01,0.6
Geraldton Airport,2015-11-01,22.4
Geraldton Airport,2015-12-01,16.8
Geraldton Airport,2016-01-01,20.2
Geraldton Airport,2016-02-01,0.2
Geraldton Airport,2016-03-01,13.0
Geraldton Airport,2016-04-01,71.4
Geraldton Airport,2016-05-01,30.4
Geraldton Airport,2016-06-01,90.4
Geraldton Airport,2016-07-01,128.8
Geraldton Airport,2016-08-01,69.4
Geraldton Airport,2016-09-01,17.8
Geraldton Airport,2016-10-01,11.6
Geraldton Airport,2016-11-01,5.6
Geraldton Airport,2016-12-01,2.4
Geraldton Airport,2017-01-01,33.0
Geraldton Airport,2017-02-01,18.4
Geraldton Airport,2017-03-01,5.8
Geraldton Airport,2017-04-01,0.4
Geraldton Airport,2017-05-01,30.4
Geraldton Airport,2017-06-01,41.4
Geraldton Airport,2017-07-01,48.8
Geraldton Airport,2017-08-01,79.6
Geraldton Airport,2017-09-01,49.6
Geraldton Airport,2017-10-01,7.6
Geraldton Airport,2017-11-01,5.4
Geraldton Airport,2017-12-01,10.4
Geraldton Airport,2018-01-01,16.8
Geraldton Airport,2018-02-01,1.2
Geraldton Airport,2018-03-01,0.6
Geraldton Airport,2018-04-01,0.4
Geraldton Airport,2018-05-01,38.6
Geraldton Airport,2018-06-01,58.6
Geraldton Airport,2018-07-01,105.2
Geraldton Airport,2018-08-01,60.8
Geraldton Airport,2018-09-01,5.2
Geraldton Airport,2018-10-01,5.2
Geraldton Airport,2018-11-01,0.8
Geraldton Airport,2018-12-01,3.2
Geraldton Airport,2019-01-01,0.0
Geraldton Airport,2019-02-01,0.0
