瘤痢,瘤痢疙,矫埃(UTC),岿乞闭 扁柯 (∑C),岿乞闭 老弥绊扁柯 (∑C),岿乞闭 老弥历扁柯 (∑C),弥措 老碍荐樊 (mm),老乞闭 扁柯狼 岿钎霖祈瞒
94403,力饿瓢 ,2010-01-31 0:00,24.5,32.9,18.3,,2.9
94403,力饿瓢 ,2010-02-28 0:00,25,32.5,19.2,,4
94403,力饿瓢 ,2010-03-31 0:00,24.4,32.4,18.4,14.6,3.2
94403,力饿瓢 ,2010-04-30 0:00,20.3,26.6,15.3,6.6,1.3
94403,力饿瓢 ,2010-05-31 0:00,17,24.2,11.1,20.2,2.2
94403,力饿瓢 ,2010-06-30 0:00,14.4,20.7,9.9,10.2,2.7
94403,力饿瓢 ,2010-07-31 0:00,12.2,19.3,6.8,49,1.7
94403,力饿瓢 ,2010-08-31 0:00,13.5,20.8,7.7,25,1.8
94403,力饿瓢 ,2010-09-30 0:00,15.3,24.1,7.7,2.8,2.9
94403,力饿瓢 ,2010-10-31 0:00,18.9,27.1,11,1,2
94403,力饿瓢 ,2010-11-30 0:00,22.9,31.7,14.7,1.8,3.5
94403,力饿瓢 ,2010-12-31 0:00,23.2,30.4,17.8,4.6,2.7
94403,力饿瓢 ,2011-01-31 0:00,26.2,33.8,20.5,6.6,2.5
94403,力饿瓢 ,2011-02-28 0:00,28.7,35.9,23.5,31.6,2
94403,力饿瓢 ,2011-03-31 0:00,26.3,34.1,19.7,3.2,2.2
94403,力饿瓢 ,2011-04-30 0:00,23.7,30.2,17.3,10.6,3
94403,力饿瓢 ,2011-05-31 0:00,19.2,25.3,13,50,2.3
94403,力饿瓢 ,2011-06-30 0:00,16.3,21.2,11.5,39.8,1.6
94403,力饿瓢 ,2011-07-31 0:00,-99.9,-99.9,-99.9,,-99.9
94403,力饿瓢 ,2011-08-31 0:00,14.8,20.6,9,19.2,2.2
94403,力饿瓢 ,2011-09-30 0:00,15.4,22.4,8.3,21.4,1.5
94403,力饿瓢 ,2011-10-31 0:00,19,25.3,12.8,48,2.4
94403,力饿瓢 ,2011-11-30 0:00,21.1,27.9,14.3,8.8,3
94403,力饿瓢 ,2011-12-31 0:00,25,31.5,18.5,0.4,2.7
94403,力饿瓢 ,2012-01-31 0:00,28.2,35,21.8,,3.7
94403,力饿瓢 ,2012-02-29 0:00,25.9,31.7,20.2,2,2.4
94403,力饿瓢 ,2012-03-31 0:00,26,33.7,18.2,0,2.8
94403,力饿瓢 ,2012-04-30 0:00,22.2,29,15.4,7.6,2.4
94403,力饿瓢 ,2012-05-31 0:00,19.6,26.8,12.4,4.2,2.3
94403,力饿瓢 ,2012-06-30 0:00,16.8,21.5,12.1,,2.3
94403,力饿瓢 ,2012-07-31 0:00,13.9,20.6,7.3,,2
94403,力饿瓢 ,2012-08-31 0:00,14.8,21.1,8.6,23,1.6
94403,力饿瓢 ,2012-09-30 0:00,16.9,23.8,10,8.4,2.4
94403,力饿瓢 ,2012-10-31 0:00,19.9,27.2,12.5,4.6,3.6
94403,力饿瓢 ,2012-11-30 0:00,20.9,27.3,14.5,13,2.3
94403,力饿瓢 ,2012-12-31 0:00,25.3,32.6,17.9,9.6,3.8
94403,力饿瓢 ,2013-01-31 0:00,26.5,33.4,19.7,9.4,2.2
94403,力饿瓢 ,2013-02-28 0:00,27.9,35.6,20.2,0,3.5
94403,力饿瓢 ,2013-03-31 0:00,23.7,30.1,17.3,32.6,3.4
94403,力饿瓢 ,2013-04-30 0:00,23.6,30.4,16.8,3.4,3.1
94403,力饿瓢 ,2013-05-31 0:00,18.1,23.7,12.5,30.8,2.2
94403,力饿瓢 ,2013-06-30 0:00,15.3,21.9,8.7,8.6,1.8
94403,力饿瓢 ,2013-07-31 0:00,14,20.4,7.5,23.6,1.9
94403,力饿瓢 ,2013-08-31 0:00,15.9,22.2,9.6,29,1.7
94403,力饿瓢 ,2013-09-30 0:00,16.7,22.1,11.3,16.4,1.6
94403,力饿瓢 ,2013-10-31 0:00,18.7,26,11.3,10.6,2.2
94403,力饿瓢 ,2013-11-30 0:00,22.7,29.7,15.8,0,2.3
94403,力饿瓢 ,2013-12-31 0:00,24.4,31.9,16.9,2.6,2.7
94403,力饿瓢 ,2014-01-31 0:00,26.2,33.1,19.2,0.6,4
94403,力饿瓢 ,2014-02-28 0:00,28.3,35.4,21.1,3.6,3.3
94403,力饿瓢 ,2014-03-31 0:00,24.6,31.4,17.7,1.8,3.3
94403,力饿瓢 ,2014-04-30 0:00,21.6,28.8,14.4,37.2,2.7
94403,力饿瓢 ,2014-05-31 0:00,17.9,22.9,12.9,35.6,1.2
94403,力饿瓢 ,2014-06-30 0:00,15,21.6,8.3,14.6,2.6
94403,力饿瓢 ,2014-07-31 0:00,14.7,20.3,9,,1.6
94403,力饿瓢 ,2014-08-31 0:00,17.8,25.1,10.6,10,2.4
94403,力饿瓢 ,2014-09-30 0:00,18,24.5,11.4,38.4,1.5
94403,力饿瓢 ,2014-10-31 0:00,19.1,26.1,12.2,,2.2
94403,力饿瓢 ,2014-11-30 0:00,20.4,27.1,13.7,1.6,3.2
94403,力饿瓢 ,2014-12-31 0:00,22.8,30,15.6,0,2.9
94403,力饿瓢 ,2015-01-31 0:00,26.1,33.6,18.6,0,2.3
94403,力饿瓢 ,2015-02-28 0:00,26.4,32.5,20.3,10.2,1.7
94403,力饿瓢 ,2015-03-31 0:00,24.5,30.6,18.5,,2.6
94403,力饿瓢 ,2015-04-30 0:00,22.3,28,16.5,17.2,2
94403,力饿瓢 ,2015-05-31 0:00,18.1,24.6,11.6,13.2,2.1
94403,力饿瓢 ,2015-06-30 0:00,17.3,23.3,11.3,38.2,2.6
94403,力饿瓢 ,2015-07-31 0:00,15.5,20.9,10.2,14,2.9
94403,力饿瓢 ,2015-08-31 0:00,15.5,21,9.9,8.2,2
94403,力饿瓢 ,2015-09-30 0:00,17.2,25.3,9,6,3.3
94403,力饿瓢 ,2015-10-31 0:00,20.2,27.8,12.5,0.4,2.4
94403,力饿瓢 ,2015-11-30 0:00,22.9,29.6,16.1,17,3.2
94403,力饿瓢 ,2015-12-31 0:00,23.7,30.8,16.7,15.8,3.6
94403,力饿瓢 ,2016-01-31 0:00,25.7,31.2,20.1,8.2,3.7
94403,力饿瓢 ,2016-02-29 0:00,25.6,33.1,18.1,,3.8
94403,力饿瓢 ,2016-03-31 0:00,25.1,31.2,19.1,11,2.4
94403,力饿瓢 ,2016-04-30 0:00,22.4,27.4,17.3,29,2.3
94403,力饿瓢 ,2016-05-31 0:00,17.2,23.4,11,,1.3
94403,力饿瓢 ,2016-06-30 0:00,14.4,19.7,9.2,24.8,2
94403,力饿瓢 ,2016-07-31 0:00,13.7,18.9,8.4,49.2,2.3
94403,力饿瓢 ,2016-08-31 0:00,13.6,19.4,7.8,26.6,1.7
94403,力饿瓢 ,2016-09-30 0:00,13.6,20.4,6.7,5.6,1.4
94403,力饿瓢 ,2016-10-31 0:00,17.4,24.7,10,6.6,2.5
94403,力饿瓢 ,2016-11-30 0:00,21.1,29.1,13.2,2.4,3.3
94403,力饿瓢 ,2016-12-31 0:00,22.5,29.5,15.4,,2.5
94403,力饿瓢 ,2017-01-31 0:00,24.9,32.7,17.1,,3.1
94403,力饿瓢 ,2017-02-28 0:00,26.3,32.4,20.2,,3.1
94403,力饿瓢 ,2017-03-31 0:00,23.8,30.5,17.2,5,3.1
94403,力饿瓢 ,2017-04-30 0:00,21.9,29.7,14.1,0.2,2.6
94403,力饿瓢 ,2017-05-31 0:00,18.6,25.9,11.4,12,2.3
94403,力饿瓢 ,2017-06-30 0:00,16.6,23.7,9.6,14.2,2.2
94403,力饿瓢 ,2017-07-31 0:00,15.1,20.2,10,8.6,1.5
94403,力饿瓢 ,2017-08-31 0:00,14,19.9,8,24,2.2
94403,力饿瓢 ,2017-09-30 0:00,16.6,23.4,9.8,,2.4
94403,力饿瓢 ,2017-10-31 0:00,18.6,25.5,11.6,2.2,2.9
94403,力饿瓢 ,2017-11-30 0:00,22.6,29.6,15.6,,2.8
94403,力饿瓢 ,2017-12-31 0:00,24.3,31.4,17.2,,2.4
94403,力饿瓢 ,2018-01-31 0:00,25.3,31.6,19.1,,2
94403,力饿瓢 ,2018-02-28 0:00,24.1,30,18.3,1.2,1.7
94403,力饿瓢 ,2018-03-31 0:00,26.5,33.4,19.6,0,3.7
94403,力饿瓢 ,2018-04-30 0:00,-99.9,28.7,13.6,,-99.9
94403,力饿瓢 ,2018-05-31 0:00,19.8,27.3,12.3,19.2,2.5
94403,力饿瓢 ,2018-06-30 0:00,15.9,21.4,10.4,13.2,1.4
94403,力饿瓢 ,2018-07-31 0:00,15.3,20.2,10.4,43.4,1.8
94403,力饿瓢 ,2018-08-31 0:00,14,19.6,8.4,12,1.8
94403,力饿瓢 ,2018-09-30 0:00,15.2,23.1,7.2,,3
94403,力饿瓢 ,2018-10-31 0:00,18.7,24.6,12.8,2.8,2
94403,力饿瓢 ,2018-11-30 0:00,19.8,26.1,13.5,0.6,1.8
94403,力饿瓢 ,2018-12-31 0:00,23.1,29.6,16.4,,3.2
94403,力饿瓢 ,2019-01-31 0:00,23.9,31,16.8,0,3.1
94403,力饿瓢 ,2019-02-28 0:00,24.3,30.7,17.8,0,3.4
94403,力饿瓢 ,2019-03-31 0:00,25.4,31.7,19.1,,3
94403,力饿瓢 ,2019-04-30 0:00,21.4,28.4,14.3,1.2,3
94403,力饿瓢 ,2019-05-31 0:00,18.7,26.5,10.8,,2.8
94403,力饿瓢 ,2019-06-30 0:00,16.4,21.8,11.2,,1.7
94403,力饿瓢 ,2019-07-31 0:00,15,21.2,8.8,35,1.3
94403,力饿瓢 ,2019-08-31 0:00,15.6,22.4,8.7,,2.4
94403,力饿瓢 ,2019-09-30 0:00,16.4,24.1,8.7,2.6,2
94403,力饿瓢 ,2019-10-31 0:00,19.1,26.5,11.9,,2.2
94403,力饿瓢 ,2019-11-30 0:00,23.3,31.2,15.4,2.8,3.8
94403,力饿瓢 ,2019-12-31 0:00,25.4,32.8,18,1,3.8
94403,力饿瓢 ,2020-01-31 0:00,24.6,31.4,17.8,0.2,2.1
94403,力饿瓢 ,2020-02-29 0:00,26.7,32.5,20.9,,2.7
94403,力饿瓢 ,2020-03-31 0:00,25.9,32,19.8,0.2,3.6
94403,力饿瓢 ,2020-04-30 0:00,22.2,28.5,16,1.2,2.4
94403,力饿瓢 ,2020-05-31 0:00,19.1,25.1,13,,2.1
94403,力饿瓢 ,2020-06-30 0:00,18.4,24.2,12.6,15,2.1
94403,力饿瓢 ,2020-07-31 0:00,15.8,21.9,9.7,,1.8
94403,力饿瓢 ,2020-08-31 0:00,14.9,20.4,9.5,24.8,1.3
94403,力饿瓢 ,2020-09-30 0:00,16.7,23.5,9.9,6.6,2.1
94403,力饿瓢 ,2020-10-31 0:00,18.9,26.3,11.5,1.4,3
94403,力饿瓢 ,2020-11-30 0:00,20.9,26.8,14.9,,2.8
94403,力饿瓢 ,2020-12-31 0:00,24.9,32.7,17.1,0.2,3.6
94403,力饿瓢 ,2021-01-31 0:00,-99.9,35.5,21.6,,-99.9
94403,力饿瓢 ,2021-02-28 0:00,24.7,31.1,18.4,37.2,2.8
94403,力饿瓢 ,2021-03-31 0:00,25.9,32.9,18.8,0.6,2.7
94403,力饿瓢 ,2021-04-30 0:00,23.6,30.3,16.8,,2.7
94403,力饿瓢 ,2021-05-31 0:00,19.8,25.5,14.3,,2.7
94403,力饿瓢 ,2021-06-30 0:00,14.7,20.1,9.2,15,2.1
94403,力饿瓢 ,2021-07-31 0:00,15.6,19.7,11.5,24,1.3
94403,力饿瓢 ,2021-08-31 0:00,14.9,21,8.8,11.2,2.2
94403,力饿瓢 ,2021-09-30 0:00,16.6,24.3,9,8.8,2.6
94403,力饿瓢 ,2021-10-31 0:00,17.2,24,10.4,24.8,2.1
94403,力饿瓢 ,2021-11-30 0:00,20.6,28.2,13,,3.1
94403,力饿瓢 ,2021-12-31 0:00,24.7,32.2,17.2,1,4.6
94403,力饿瓢 ,2022-01-31 0:00,26.7,34.5,18.9,0,3.2
94403,力饿瓢 ,2022-02-28 0:00,27.5,35.2,19.9,,3.5
94403,力饿瓢 ,2022-03-31 0:00,25.7,32.9,18.4,,2.8
94403,力饿瓢 ,2022-04-30 0:00,21.9,27.7,16.1,,2.9
94403,力饿瓢 ,2022-05-31 0:00,18.7,24.7,12.6,13.6,1.8
94403,力饿瓢 ,2022-06-30 0:00,16.8,22.6,11,,2.2
94403,力饿瓢 ,2022-07-31 0:00,15.2,21.3,9.1,24.2,1.9
94403,力饿瓢 ,2022-08-31 0:00,14.5,20.3,8.6,61.6,1.4
94403,力饿瓢 ,2022-09-30 0:00,16,22.6,9.4,19.2,1.9
94403,力饿瓢 ,2022-10-31 0:00,16.5,23.8,9.3,,1.9
94403,力饿瓢 ,2022-11-30 0:00,20,27.7,12.3,10.4,3.4
94403,力饿瓢 ,2022-12-31 0:00,24.2,31.7,16.7,2.4,2.8
94403,力饿瓢 ,2023-01-31 0:00,25.9,33,18.8,0,3.7
94403,力饿瓢 ,2023-02-28 0:00,26.2,32.8,19.5,,3.3
94403,力饿瓢 ,2023-05-31 0:00,19.4,26.5,12.3,,2.4
94403,力饿瓢 ,2023-06-30 0:00,14.2,19.4,9,29,2
94403,力饿瓢 ,2023-07-31 0:00,13.9,20,7.8,,1.4
