지점,지점명,시간(UTC),월평균 기온 (°C),월평균 일최고기온 (°C),월평균 일최저기온 (°C),최대 일강수량 (mm),일평균 기온의 월표준편차
72757, 노스 다코타,2010-04-30 0:00,9.5,16.7,2.4,18.7,3.1
72757, 노스 다코타,2010-05-31 0:00,13.5,19.4,7.5,50.5,5.8
72757, 노스 다코타,2010-06-30 0:00,18,23.4,12.7,42.4,2.9
72757, 노스 다코타,2010-07-31 0:00,21.8,28.3,15.3,14.9,2.6
72757, 노스 다코타,2010-08-31 0:00,21.5,28.1,14.8,59.9,3.4
72757, 노스 다코타,2010-09-30 0:00,13,18.4,7.6,45.4,2.4
72757, 노스 다코타,2010-10-31 0:00,9.3,15.8,1.8,35.5,5.1
72757, 노스 다코타,2010-11-30 0:00,-2.7,2.1,-8.1,3.8,8.4
72757, 노스 다코타,2010-12-31 0:00,-13.1,-9.2,-17.2,10.4,4.6
72757, 노스 다코타,2011-01-31 0:00,-17.5,-12.4,-22.6,5.8,5.7
72757, 노스 다코타,2011-02-28 0:00,-12.6,-7.4,-17.9,0.5,8.1
72757, 노스 다코타,2011-03-31 0:00,-6.9,-2.4,-11.6,4,6.7
72757, 노스 다코타,2011-04-30 0:00,4.9,10.2,-0.3,24.1,4
72757, 노스 다코타,2011-05-31 0:00,11.7,17.7,5.7,24.6,4.3
72757, 노스 다코타,2011-06-30 0:00,18.2,24.1,12.3,20.8,3.5
72757, 노스 다코타,2011-07-31 0:00,22.4,28.9,15.9,28.7,2.9
72757, 노스 다코타,2011-08-31 0:00,20.9,27.6,14.2,29.4,2.3
72757, 노스 다코타,2011-09-30 0:00,15.2,22.8,7.6,40.1,4.7
72757, 노스 다코타,2011-10-31 0:00,10.3,17,3.2,5.8,6.5
72757, 노스 다코타,2011-11-30 0:00,-0.2,5.7,-6.3,1.7,5.6
72757, 노스 다코타,2011-12-31 0:00,-5.3,-0.1,-10.8,3.8,4.3
72757, 노스 다코타,2012-01-31 0:00,-8.7,-3.2,-14.1,4.3,7.4
72757, 노스 다코타,2012-02-29 0:00,-7.1,-1.5,-12.9,9.6,5
72757, 노스 다코타,2012-03-31 0:00,3.2,9.7,-2.9,13.9,9
72757, 노스 다코타,2012-04-30 0:00,7.9,14.8,0.8,10.9,4
72757, 노스 다코타,2012-05-31 0:00,14.3,21.4,6.8,15.4,3.9
72757, 노스 다코타,2012-06-30 0:00,19.1,26.4,11.8,18.2,3
72757, 노스 다코타,2012-07-31 0:00,23.8,30.8,16.8,49.7,2.2
72757, 노스 다코타,2012-08-31 0:00,19.8,27.8,11.8,13.7,2.8
72757, 노스 다코타,2012-09-30 0:00,14.1,22.9,5.2,2.5,5
72757, 노스 다코타,2012-10-31 0:00,6.5,10.1,0.9,19.3,3.7
72757, 노스 다코타,2012-11-30 0:00,-2.9,1,-6.8,6,4.5
